ubuntu@client-measure-n717:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.7 -a 10.156.0.11 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1653235080170
Timestamp end: 1653236880585

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      438.1  1170.6   101.3   192.1   215.0   325.6   392.8   423.3   441.9   461.8   491.4   561.9  2990.9 18589.6 36670.1   5055.2     5031
read      427.5   393.1    86.8   156.7   179.5   337.1   443.7   512.8   573.5   661.2   777.6   972.1  1456.5  3542.3 12694.8  54771.6    54838
read      394.6   392.5    86.8   163.1   187.7   318.2   399.3   452.6   497.3   552.7   641.0   828.2  1465.4  4137.3 10976.4  74776.7    74868
read      459.1   690.2    86.8   174.4   199.6   368.3   468.6   542.4   598.2   665.7   736.4   852.0  1471.7  8624.6 31361.2  29930.5    30015
read      445.5   582.5    80.4   154.9   177.7   351.9   463.7   537.6   602.2   682.4   772.4   934.3  1459.0  7203.4 30138.5  40736.7    40743
read      460.8   930.5    86.8   161.8   185.7   365.5   463.0   531.0   577.8   630.4   691.1   789.5  1493.1 13788.7 35180.1  23615.8    23648
read      331.3   323.5    80.4   172.0   195.1   291.2   340.3   369.4   393.8   427.4   476.5   563.5   937.4  3802.7 10884.2  97525.7    97712
read      421.4   387.3    86.8   160.5   185.7   341.5   441.8   504.4   555.6   630.7   736.7   909.2  1395.0  3399.8 10237.6  53707.3    53672
read      415.8   328.6    80.4   166.7   192.4   343.8   439.2   498.6   547.5   616.5   714.7   869.5  1318.4  3144.4  9290.7  55326.9    55395
read      444.3   725.0    86.8   156.1   180.4   357.8   461.4   533.4   588.7   653.2   724.2   840.4  1358.9  7524.4 31883.5  29499.3    29425
read      464.4  1034.5    93.8   166.2   189.6   366.0   461.1   514.4   547.1   581.8   627.4   716.6  2404.0 12798.3 32442.5  15170.2    15173
read      382.1   374.6    80.4   160.0   183.7   310.1   386.4   436.6   481.0   536.9   622.9   798.7  1376.2  3919.3 12889.2  82333.9    82475
read      330.9   338.7    86.8   165.2   189.0   291.9   343.9   375.7   401.4   436.2   488.3   570.2   875.0  3287.1 14174.3  90568.4    90555
read      456.2   700.0    86.8   159.5   184.5   350.3   456.2   525.1   584.9   670.4   772.0   940.5  1619.7  9691.8 31002.9  48046.8    47944
read      443.9   629.3    86.8   164.8   190.0   364.7   466.1   538.3   592.8   655.8   725.6   827.9  1271.9  7592.2 31209.8  28368.0    28313
read      450.0   684.4    86.8   172.7   197.5   368.9   463.8   534.7   587.5   648.8   718.5   822.7  1385.3  8117.6 31950.9  28521.4    28504
read      458.1   847.6    93.8   172.2   195.6   370.8   466.4   534.5   581.1   633.2   692.2   785.8  1341.4 13003.7 32028.8  22898.0    22886
read      444.2   677.8    86.8   154.2   177.4   355.8   464.2   536.0   594.1   663.3   740.0   867.8  1341.2  9506.2 31522.8  35783.3    35717
read      457.1  1009.6    93.8   164.8   188.6   371.0   457.2   504.6   534.9   569.7   615.7   697.8  1919.5 13818.2 32132.2  14716.7    14828
read      362.2   339.2    86.8   170.8   194.3   304.7   368.6   410.7   446.9   493.3   555.0   682.9  1191.0  3708.4 10809.1  81659.2    81704
read      423.2   353.3    86.8   166.3   192.3   343.7   440.0   502.7   552.6   629.0   741.6   924.4  1379.5  3311.9  9898.3  55812.3    55771
read      339.0   356.9    86.8   162.8   186.7   296.4   350.9   384.9   412.2   450.8   502.8   589.1   947.5  4104.4 13803.8  85342.8    85226
read      422.9   534.3    86.8   161.9   186.7   331.7   421.5   480.6   529.8   594.2   698.3   911.3  1591.7  5860.3 27887.3  74972.7    75020
read      431.9   730.3   101.3   170.0   193.3   379.3   458.2   501.7   531.0   563.8   608.6   690.3  1461.9  7934.3 32143.2  12479.7    12441
read      457.4   541.3    86.8   164.5   189.1   347.1   456.0   530.2   593.3   688.5   822.0  1059.4  1773.4  4387.3 30079.0  56193.7    56208
read      472.7   939.6    93.8   172.9   196.5   378.9   474.0   537.4   574.3   616.8   677.5   780.3  2059.1 14288.5 32188.7  17544.9    17446
read      341.1   343.5    86.8   160.8   183.9   298.6   353.0   387.5   415.9   455.2   507.9   595.4  1037.6  3740.8 11286.3  86987.5    86943
read      440.2   540.0    86.8   157.1   179.7   337.5   450.6   522.3   587.9   680.7   802.2  1000.3  1434.4  5990.7 26447.4  49260.8    49138
read      431.5   368.2    86.8   154.1   176.2   336.8   454.9   528.1   592.9   688.1   812.3  1003.2  1417.1  3118.5 12109.0  49866.9    49839
read      441.8   471.1    86.8   151.2   172.8   336.2   454.7   530.0   600.1   704.3   830.5  1029.5  1532.7  5331.6 12669.6  47801.8    47752
read      467.4   764.4    80.4   155.7   179.3   367.4   482.0   558.3   616.8   686.2   766.8   885.1  1658.8  9790.9 31878.7  27130.1    27181
read      491.0  1548.7   101.3   182.4   205.0   320.4   408.7   437.6   456.9   478.8   509.5   590.9  4661.6 30562.2 37852.3   6149.3     6170
read      469.3  1271.6   101.3   181.1   204.7   340.7   428.6   457.0   475.2   501.6   538.8   620.0  3229.9 17465.1 37204.6   7124.6     7187
read      340.3   350.2    86.8   166.6   189.7   299.2   348.1   378.6   402.5   435.6   485.1   575.5  1152.9  3927.8 11016.9  99294.2    99387
read      335.8   348.6    80.4   164.1   187.0   298.9   349.4   381.7   406.5   440.7   491.1   573.7   876.0  4022.6 12092.2  92105.3    91970
read      354.5   392.9    86.8   166.3   189.4   302.2   362.0   400.5   432.6   474.2   533.8   635.1  1121.6  4704.1 14336.8  79660.6    79658
read      427.0   378.6    86.8   155.6   177.9   324.2   430.4   499.3   558.7   652.7   794.1  1045.3  1598.4  3513.7 11148.4  59236.4    59230
read      356.2   312.8    86.8   160.1   182.6   299.9   363.3   404.1   438.4   485.7   550.4   681.1  1282.1  3663.7 10082.1  77925.9    78081
read      430.5   442.8    86.8   155.8   178.1   325.3   431.8   503.2   566.1   656.8   797.1  1051.9  1565.0  3965.1 14188.0  64078.5    64242
read      471.2   700.8    86.8   161.3   184.8   355.6   478.8   561.3   631.0   719.5   821.7   990.3  1603.0  8721.1 30622.2  37685.1    37702
read      448.5   510.6    86.8   153.3   175.5   344.3   467.4   548.3   623.5   716.7   825.2  1002.6  1461.5  5491.9 19115.3  40637.2    40686
read      458.8   705.4    86.8   152.9   175.0   359.8   479.9   559.6   625.7   699.7   785.3   918.9  1453.7  8103.1 31769.3  30327.1    30376
read      462.1   664.4    86.8   151.4   172.9   344.6   470.6   555.5   632.4   726.9   835.3  1009.1  1568.9  7924.8 29364.8  38408.3    38416
read      425.3   369.4    86.8   154.5   176.2   322.3   427.6   498.1   559.3   652.6   792.3  1043.7  1633.7  3140.4  9566.2  65851.9    65892
read      456.7   702.3    86.8   151.1   172.5   344.7   465.7   544.6   619.9   709.7   803.8   970.6  1483.1 10520.3 30382.0  39451.2    39560
read      468.4  1181.8    93.8   173.3   196.6   373.2   442.8   475.2   501.0   531.1   571.2   652.3  2459.8 16326.2 32440.1   9991.4    10016
read      457.8   650.1    86.8   162.2   186.6   340.0   445.8   517.0   579.3   677.7   820.6  1072.7  1668.1  7650.1 30508.8  55077.7    55224
