##### 2 threads 1 core ####

ubuntu@client-measure-l85z:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.223 -a 10.156.15.221 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
1652986997.02 8.5 56.0 2.2 2.2
1652986998.02 7.1 50.7 2.2 2.1
1652986999.02 2.4 38.7 4.3 4.3
1652987000.02 3.7 53.4 1.1 1.1
1652987001.03 1.1 11.8 2.0 0.0
1652987002.03 1.0 2.0 2.0 2.0
1652987003.03 4.9 59.7 1.1 0.0
1652987004.03 3.6 58.4 2.1 2.3
1652987005.03 6.0 66.2 3.2 4.7
1652987006.03 3.6 51.4 1.1 4.7
1652987007.03 1.2 56.6 2.1 3.4
1652987008.04 1.0 2.0 1.0 0.0
1652987009.04 2.1 13.7 1.0 2.1
1652987010.04 3.7 64.1 2.2 2.3
1652987011.04 3.7 59.5 1.1 3.4
1652987012.04 4.9 63.7 5.4 6.5
1652987013.04 9.6 71.4 2.3 4.4
1652987014.05 2.4 54.0 2.2 3.2
1652987015.05 2.0 2.0 1.0 1.0
1652987016.05 4.4 33.0 1.0 2.1
1652987017.05 6.5 77.0 5.3 4.4
1652987018.05 5.2 80.0 1.1 6.4
1652987019.05 12.5 80.6 2.2 1.1
1652987020.05 5.0 71.1 1.1 1.1
1652987021.06 5.6 37.5 1.1 4.3
1652987022.06 1.0 0.0 0.0 0.0
1652987023.06 2.4 53.1 4.4 2.2
1652987024.06 5.3 86.0 8.1 1.1
1652987025.06 8.8 82.2 5.9 4.6
1652987026.06 9.6 78.4 4.8 7.8
1652987027.06 7.3 78.4 8.9 1.1
1652987028.07 2.2 31.0 2.1 1.0
1652987029.07 1.0 2.0 1.0 1.0
1652987030.07 2.6 77.6 0.0 1.1
1652987031.07 6.3 87.5 3.4 5.6
1652987032.07 5.2 89.5 6.6 3.5
1652987033.07 7.7 90.4 3.4 4.4
1652987034.07 3.8 88.9 4.4 3.4
1652987035.07 1.0 13.1 2.0 1.1
1652987036.08 2.0 6.0 0.0 1.0
1652987037.08 11.3 81.5 6.7 4.5
1652987038.08 8.7 84.2 4.7 2.2
1652987039.08 11.1 83.3 3.5 5.5
1652987040.08 2.9 78.0 3.4 1.2
1652987041.08 6.9 73.6 3.4 3.3
1652987042.08 2.0 2.0 0.0 1.0
1652987043.09 1.1 31.0 1.0 1.0
1652987044.09 7.4 95.9 4.5 3.4
1652987045.09 11.7 89.7 5.6 8.1
