ubuntu@client-measure-n717:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.7 -a 10.156.0.11 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (93519, 70128, 63915, 67120, 53324, 87437, 81696, 20120, 89818, 6348, 63760, 18992, 43365, 17874, 69383, 83686, 31566, 87171, 66563, 96341, 95033, 60432, 37127, 55342, 8444, 46992, 77146, 35659, 88539, 79775, 43919, 11803, 62105, 39780, 87057, 64932, 44601, 72085, 86989, 50984, 8256, 9207, 37952, 57437, 51985, 15100, 87382, 12164, 49758, 12218, 96081, 94636, 34544, 70911, 22997, 94117, 47642, 81082, 64899, 69239, 50169, 85560, 71024, 24010, 9103, 7543, 92821, 26118, 99791, 36000, 17129, 74145, 39559, 75538, 80270, 90073, 10585, 9064, 7196, 66906, 66066, 13075, 66412, 40049, 55898, 30048, 36675, 69883, 35721, 78589, 46401, 24190, 6003, 61353, 30316, 72352, 18130, 89356, 28733, 56504, 47062, 21515, 65797, 49191, 85230, 35156, 92470, 26822, 64358, 88684, 50398, 33568, 10454, 86222, 84564, 56026, 91612, 34024, 67090, 32140, 36881, 10880, 27963, 50630, 32308, 15602, 72006, 87807, 26210, 30200, 23606, 59163, 96159, 71986, 39127, 41036, 19508, 62300, 96360, 30298, 57421, 67981, 94811, 36155, 72052, 13362, 36219, 93761, 63498, 80583, 23607, 84499, 97925, 24080, 43364, 89569, 96966, 62135, 61812, 63145, 31364, 15709, 56188, 65911, 73011, 75281, 36636, 69451, 92759, 33544, 78938, 29120, 11794, 99145, 14209, 22175, 56225, 25243, 27109, 40542)
Average QPS expected = 53036
Timestamp start: 1653227955780
Timestamp end: 1653229756184

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      540.6   671.5    74.4   170.7   197.1   354.5   461.6   557.9   669.1   869.7  1244.4  1594.8  2393.3  6249.4 30161.6  93453.8    93519
read      443.0   480.9    80.4   148.6   168.3   299.9   396.8   483.4   580.4   740.8   963.3  1273.2  1762.4  4148.5 12757.7  70148.8    70128
read      444.5   484.0    80.4   145.9   165.2   299.4   400.1   491.8   587.7   746.6   972.9  1269.0  1777.6  4057.7 13603.2  64050.5    63915
read      438.2   522.8    86.8   145.1   164.6   297.2   396.9   479.2   565.8   711.1   920.0  1225.3  1806.8  5062.6 17175.0  67134.1    67120
read      427.5   442.3    80.4   145.3   164.5   302.0   407.9   494.2   581.1   717.2   897.1  1136.3  1540.4  3809.8 10676.5  53353.3    53324
read      502.9   504.4    80.4   166.9   190.3   332.5   447.0   564.4   688.9   866.7  1085.3  1443.9  2112.5  3955.8 12577.0  87500.0    87437
read      438.5   425.9    80.4   153.3   173.9   302.0   397.7   479.7   568.7   713.8   926.1  1230.3  1830.6  3394.9 12488.3  81746.9    81696
read      438.2   841.5    80.4   142.0   160.7   343.2   448.9   525.0   574.8   626.8   690.9   800.0  1391.9 11798.2 31980.8  20180.9    20120
read      560.3   550.1    86.8   175.4   201.3   355.7   486.5   650.3   818.4  1030.4  1289.0  1601.3  2351.5  3982.6 13401.2  89832.8    89818
read      432.6  1344.9    93.8   160.3   185.0   305.6   355.6   383.6   403.6   429.7   466.2   548.7  3317.3 29760.9 35419.1   6374.6     6348
read      442.4   520.8    80.4   148.2   168.2   308.4   414.3   500.4   584.0   713.1   901.4  1189.1  1718.2  5570.9 17366.3  63631.6    63760
read      451.8   945.2    80.4   145.0   165.0   350.2   450.1   519.3   564.3   613.1   672.4   767.5  1977.2 12295.5 32234.0  18988.2    18992
read      457.2   663.5    86.8   147.8   167.9   321.6   445.3   537.4   635.8   754.1   892.8  1080.3  1554.9  8535.5 31031.2  43422.1    43365
read      450.3   961.7    86.8   146.8   166.7   350.8   449.4   517.1   561.8   610.7   667.9   761.6  1645.6 13593.4 32193.0  17937.8    17874
read      451.4   560.4    80.4   152.4   173.5   313.1   417.0   499.9   585.7   719.3   912.7  1219.5  1809.4  5010.3 20721.0  69450.5    69383
read      453.0   432.0    86.8   160.5   181.7   316.7   419.1   507.8   604.0   741.8   934.1  1231.1  1814.8  3414.9 11971.5  83793.1    83686
read      460.5   810.7    86.8   147.3   167.6   339.5   461.6   556.0   634.1   714.7   810.5   947.8  1532.6 11196.2 35485.9  31567.4    31566
read      522.6   523.4    86.8   175.9   201.0   352.4   475.5   599.8   720.1   889.3  1096.8  1455.1  2130.3  4211.7 14258.6  87285.0    87171
read      425.0   391.2    86.8   149.2   169.5   307.0   406.4   485.7   562.3   681.9   860.6  1146.3  1638.3  2860.4  9987.9  66442.9    66563
read      694.4   736.4    93.8   217.9   249.5   402.6   593.7   956.6  1244.2  1436.2  1564.1  1721.4  2672.1  6451.1 29223.6  96192.8    96341
read      676.1   799.2    93.8   210.9   242.0   394.5   553.5   880.9  1168.8  1406.9  1540.4  1696.8  2635.0  6667.6 31523.7  94987.3    95033
read      438.8   478.0    86.8   151.4   171.7   313.2   416.7   499.3   580.6   702.3   883.7  1160.8  1681.1  4062.4 14337.4  60608.0    60432
read      467.3   778.0    86.8   146.3   166.4   327.0   452.3   548.0   637.6   742.2   863.5  1030.8  1800.9 11024.0 31451.5  37145.8    37127
read      444.0   544.4    80.4   149.0   169.2   316.5   428.2   511.3   597.9   721.8   891.2  1136.1  1590.9  6234.9 20683.1  55314.6    55342
read      410.8   789.2    93.8   160.0   185.7   344.8   414.7   452.2   478.5   509.9   553.6   639.8  1742.1  9726.2 32056.6   8464.7     8444
read      479.2   688.1    86.8   147.7   167.2   317.7   442.2   549.5   664.9   816.1   990.8  1227.3  1953.7  7274.2 30867.4  47010.5    46992
read      438.9   421.3    86.8   153.7   174.2   301.9   395.9   476.5   562.7   712.6   940.0  1258.8  1810.4  3047.0 12203.1  77154.9    77146
read      457.0   580.8    80.4   145.0   164.2   323.0   458.0   568.3   672.4   788.5   910.7  1073.1  1550.2  6123.1 25183.7  35660.3    35659
read      588.3   599.2    86.8   177.3   204.5   363.1   494.8   672.0   879.7  1122.9  1436.3  1688.6  2490.4  4289.9 15433.0  88504.5    88539
read      452.2   445.4    86.8   157.2   178.3   310.0   407.7   495.7   590.0   741.1   964.2  1284.3  1857.2  3333.1 12756.8  79828.2    79775
