ubuntu@client-measure-kzd0:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.230 -a 10.156.15.229 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 4
Random waveform, supplied seed
Total number of intervals = 180 (5002, 54986, 7130, 84290, 17452, 88208, 22877, 72971, 73135, 75186, 55733, 12378, 35768, 18138, 25316, 16286, 70039, 7925, 55700, 30401, 68647, 75977, 38812, 73569, 41545, 15233, 39948, 63492, 68082, 81456, 65924, 9635, 9732, 23037, 94715, 34730, 55405, 7436, 96598, 48830, 98879, 93373, 89615, 6275, 62579, 32621, 55023, 56191, 13630, 75839, 11268, 91542, 95358, 14465, 46522, 68275, 94880, 61112, 65501, 28015, 63771, 6718, 11191, 31233, 94928, 97715, 11135, 39480, 80154, 33026, 5268, 55976, 15291, 67253, 16304, 86493, 77575, 24032, 9375, 12678, 34572, 52641, 11030, 76616, 49936, 54228, 94769, 90660, 99798, 57659, 93618, 26403, 43387, 10044, 39624, 41474, 66593, 39775, 12340, 67852, 19176, 87812, 19141, 72767, 63416, 32230, 24915, 17561, 18091, 99427, 83040, 99355, 25742, 58482, 52445, 39976, 65714, 85849, 86593, 54564, 39577, 14343, 6139, 67434, 15213, 84735, 76404, 96170, 73743, 30666, 57058, 62785, 62130, 73914, 56612, 57338, 99906, 61065, 38132, 41320, 39242, 83059, 26336, 61300, 93660, 65334, 58894, 29662, 5808, 95639, 86335, 85220, 52894, 80911, 31316, 54124, 53152, 62479, 51223, 25168, 99184, 91048, 57941, 82238, 15783, 62638, 72072, 58970, 80048, 65921, 54854, 56548, 40027, 66638, 32005, 48830, 6161, 56344, 17598, 83020)
Average QPS expected = 52310
Timestamp start: 1653138720848
Timestamp end: 1653140521244

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      871.3  1028.2   101.3   264.0   303.5   516.8   851.2  1260.9  1486.3  1620.9  1755.3  2004.6  3307.7 12194.3 31965.3  81487.5    81456
read      686.0   914.3    93.8   217.8   250.2   446.8   593.8   749.3   918.5  1175.7  1508.2  1808.8  2861.2  7764.0 33835.1  65969.6    65924
read      561.7  1255.1   101.3   200.9   231.1   438.6   508.7   549.8   585.2   628.2   685.5   842.4  3323.1 21204.9 40429.8   9713.5     9635
read      606.7  1398.7   101.3   202.0   233.1   446.7   520.8   565.5   601.0   647.1   714.9   935.7  4403.3 29695.5 36621.0   9744.5     9732
read      632.7  1173.1    93.8   179.4   211.2   485.5   605.6   688.4   748.4   819.8   929.5  1240.1  4039.5 14122.7 37556.2  23111.0    23037
read      845.7  1161.4    93.8   264.5   302.7   500.7   731.5  1049.1  1374.4  1561.1  1713.9  1934.0  4394.5 12666.3 32416.0  94820.7    94715
read      646.9   993.3    93.8   194.4   225.8   448.9   604.6   736.3   850.8  1010.2  1285.2  1620.7  2762.0 10481.6 35440.4  34757.2    34730
read      571.9   715.8    93.8   188.2   218.8   411.7   540.9   640.2   733.1   860.3  1064.7  1470.4  2452.8  7355.6 30617.1  55372.3    55405
read      539.0  1322.0   101.3   184.1   211.3   417.9   477.2   515.9   541.6   574.7   626.7   798.3  3903.7 29168.1 37065.3   7409.4     7436
read      864.4  1078.7    93.8   259.4   300.5   522.8   810.7  1160.1  1444.2  1600.7  1740.1  1965.9  3764.2 12334.9 32344.2  96486.5    96598
read      743.5  1274.3    93.8   196.0   234.4   451.5   604.5   757.6   940.8  1260.5  1570.3  1867.6  4697.2 16112.5 36022.9  48831.7    48830
read      891.2  1014.2   101.3   266.3   306.8   538.1   873.0  1310.3  1518.3  1658.0  1800.1  2024.6  3473.1 11356.1 31886.8  98949.7    98879
read      891.6  1085.2   109.4   266.3   307.8   539.2   851.6  1218.6  1497.7  1650.3  1799.8  2021.9  3597.8 12376.9 32345.4  93322.3    93373
read      871.4  1036.3    93.8   246.4   290.9   532.1   844.9  1195.3  1491.9  1653.6  1808.8  2028.2  3192.8 11628.2 32233.9  89679.8    89615
read      756.8  2302.4    93.8   164.9   188.0   362.3   505.2   658.9   807.7  1015.7  1340.5  1822.3  5190.8 32111.4 40794.2   6349.8     6275
read      595.7   747.6    93.8   176.2   204.7   404.8   538.3   641.3   749.7   926.2  1219.8  1694.1  2689.8  7172.6 30913.6  62464.9    62579
read      593.8   921.2    93.8   164.5   189.9   433.9   583.7   672.1   751.6   863.0  1050.9  1418.5  3110.6  9083.9 32132.4  32660.7    32621
read      583.3   780.5    93.8   167.5   194.3   391.7   526.7   628.9   735.8   909.7  1210.4  1651.2  2606.4  7943.4 30770.1  55035.9    55023
read      573.0   761.9    93.8   169.0   196.1   393.3   531.6   632.7   733.3   882.8  1125.2  1572.4  2577.7  7604.4 31483.9  56249.6    56191
read      564.4  1183.9    93.8   167.2   192.9   438.4   542.7   600.0   640.7   691.3   758.1   903.5  3803.6 16693.8 35793.6  13674.6    13630
read      851.6  1177.6   101.3   245.8   286.7   499.3   734.7  1061.5  1357.6  1560.3  1735.9  2064.7  4270.8 12758.3 32333.6  76000.5    75839
read      561.8  1294.4    93.8   163.7   189.5   417.2   512.8   568.1   607.4   652.8   718.0   873.4  4135.1 28339.6 36644.6  11273.4    11268
read      880.3  1127.1   101.3   262.9   303.4   530.2   816.6  1211.2  1481.2  1633.7  1782.3  2013.0  3621.6 12490.2 35447.7  91393.4    91542
read      897.0  1046.6   101.3   260.7   302.8   539.0   877.6  1343.5  1539.2  1674.3  1817.2  2034.4  3252.2 12181.1 32137.7  95445.9    95358
read      701.9  1767.9    93.8   163.1   187.7   391.3   520.4   625.2   718.5   863.3  1275.9  1853.1  5392.6 31474.7 37904.7  14505.5    14465
read      569.4   747.2    93.8   162.8   188.4   390.9   531.5   631.8   729.7   888.3  1146.9  1576.0  2621.8  7410.0 31037.5  46558.2    46522
read      665.7   731.3    93.8   189.2   223.3   444.2   601.4   762.4   924.1  1138.2  1490.0  1880.2  2725.0  5969.8 30440.1  68229.7    68275
read      878.3  1326.0   101.3   262.3   302.1   513.3   715.4  1003.8  1354.0  1569.4  1737.3  1997.7  5654.1 13678.4 35767.2  94717.0    94880
read      896.2  1230.6   101.3   259.5   300.6   531.2   848.8  1268.0  1506.5  1651.9  1795.5  2023.1  3449.5 13532.3 35092.9  61115.0    61112
read      755.9   815.5    86.8   209.5   250.6   474.0   688.8   950.0  1188.9  1477.2  1682.7  1970.5  2907.1  7106.8 30470.7  65324.0    65501
read      602.6  1021.9    93.8   159.4   185.1   439.7   577.6   670.9   753.9   863.1  1010.0  1378.2  3693.4 10231.8 33572.1  27986.3    28015
read      579.0   665.6    86.8   176.1   203.9   402.3   527.9   629.3   735.9   906.9  1162.2  1676.2  2537.5  6029.4 25736.0  63822.3    63771
read      514.0  1308.5   101.3   174.5   199.0   374.6   436.1   473.0   501.1   537.2   588.0   743.8  3702.1 29026.4 36738.6   6688.0     6718
read      564.3  1319.9    93.8   165.5   191.4   416.6   504.1   554.3   593.3   640.0   709.7   895.9  4250.2 26991.0 39008.7  11173.0    11191
read      599.4   982.4    86.8   159.2   184.5   426.4   586.2   676.2   760.6   890.3  1075.6  1451.5  3121.5 12289.0 32407.7  31255.1    31233
read      863.1  1197.3   101.3   264.8   303.8   508.3   737.3  1053.2  1408.4  1592.5  1751.7  1997.5  4510.0 12745.5 33109.0  94876.3    94928
read      867.2  1233.4   101.3   260.8   299.1   497.7   717.0  1047.0  1414.5  1607.4  1770.8  2007.0  4960.3 12769.1 33599.4  97867.7    97715
read      757.9  2299.9   101.3   179.8   210.1   398.2   501.8   576.9   665.0   770.9  1045.5  1836.7  6255.5 32214.0 37625.7  11188.0    11135
read      574.1   763.7    86.8   171.6   201.4   425.7   566.4   667.0   747.7   865.5  1036.1  1412.4  2515.2  7741.2 31727.6  39524.7    39480
read      845.4   978.8    93.8   260.6   300.9   515.2   827.1  1134.3  1404.0  1578.3  1728.6  1956.9  3172.2 10158.8 31824.8  80223.0    80154
read      602.3  1033.3    93.8   180.8   213.0   439.7   570.5   666.6   747.7   858.5  1010.7  1357.1  3268.7 10011.2 35131.4  32951.2    33026
read      480.0  1206.1   109.4   204.4   240.8   367.1   415.0   442.6   462.5   487.5   523.7   633.5  3181.2 24746.7 38676.6   5292.4     5268
read      586.6   797.0    93.8   186.4   218.2   417.5   549.4   645.9   745.6   872.5  1067.6  1513.4  2638.5  7781.9 32188.8  55973.7    55976
read      623.1  1419.5   101.3   194.4   227.2   452.3   554.0   617.3   693.6   759.4   833.2  1034.7  4426.7 29967.1 38948.4  15331.5    15291
read      630.7   714.2    93.8   187.6   220.1   434.5   576.1   712.0   842.6  1015.9  1277.0  1771.4  2704.5  6791.4 29971.5  67158.1    67253
read      590.2  1201.9    93.8   192.3   225.5   453.9   557.1   618.9   682.9   751.7   825.2   997.7  3463.1 20407.0 36903.2  16352.6    16304
read      841.9  1360.2   101.3   265.2   301.3   476.8   632.8   868.3  1184.2  1511.8  1707.4  1999.7  5733.4 16062.6 35781.2  86547.9    86493
read      848.9  1095.9    93.8   258.1   297.6   508.7   780.3  1081.4  1387.6  1585.4  1745.4  1984.7  3277.7 12395.9 32616.7  77715.6    77575
read      587.5  1032.8    93.8   174.6   206.4   441.5   562.7   641.6   741.9   837.7   961.4  1223.6  2816.6 13149.2 32361.2  24022.3    24032
read      536.8  1162.6   101.3   190.1   223.6   405.8   479.5   521.2   551.1   593.0   646.6   843.0  3334.9 15653.6 37629.1   9311.6     9375
read      588.2  1362.8   101.3   182.8   215.3   430.7   525.3   581.0   621.2   679.7   780.5   934.3  4013.8 29720.2 37042.5  12724.8    12678
read      595.9   892.6    93.8   172.1   202.2   441.2   580.8   669.9   772.2   889.2  1046.5  1391.9  2890.0 10057.7 31882.5  34574.2    34572
read      583.9   804.4    80.4   168.4   196.7   399.6   531.6   628.0   735.2   894.8  1129.2  1632.8  2801.1  7531.4 31703.0  52748.4    52641
read      536.1  1158.6    93.8   183.2   214.6   414.0   491.8   534.6   566.0   604.3   661.1   829.3  3697.3 21633.1 32366.7  11053.2    11030
read      612.3   898.7    93.8   195.0   227.5   407.0   521.6   620.6   729.4   914.0  1229.1  1686.2  2953.1  9622.7 32159.3  76508.5    76616
read      466.9   526.8    93.8   185.8   212.5   367.1   470.8   535.5   583.5   642.7   749.4   993.7  1840.8  5702.7 21609.3  49962.7    49936
read      475.4   674.3    93.8   189.1   213.4   363.0   464.5   529.9   578.7   640.9   750.2  1013.0  1996.6  6789.0 31390.5  54174.4    54228
read      531.9   879.4    93.8   204.2   234.5   396.2   483.7   542.6   593.1   667.9   786.3  1060.8  3300.4  8781.6 32181.0  94916.2    94769
read      527.4   869.4    93.8   211.4   238.1   387.4   470.5   527.9   576.3   644.9   764.9  1078.2  3277.9  8805.4 32038.0  90599.2    90660
read      558.5   920.2   101.3   215.2   246.9   419.8   513.8   579.2   633.6   708.7   821.9  1065.4  3273.8 10167.3 32137.0  99607.9    99798
read      468.0   618.2    86.8   178.9   206.4   359.1   456.6   519.5   568.4   631.2   739.9  1015.4  2101.2  6008.2 30467.8  57531.3    57659
read      519.6   832.4    86.8   207.6   234.9   380.8   462.7   519.6   568.6   638.4   762.5  1080.3  3234.9  8702.8 31849.6  93605.7    93618
read      516.7   694.0    93.8   184.7   213.2   423.4   530.8   589.7   639.6   711.3   827.2  1004.5  2233.1  6584.8 31691.4  26371.0    26403
read      547.0   693.7    86.8   175.5   205.6   410.9   547.5   629.6   701.4   820.3   987.6  1291.2  2125.4  7761.1 30996.8  43359.1    43387
read      509.5   954.8   101.3   191.4   223.9   429.1   500.9   541.0   570.9   605.6   651.2   776.6  2715.2 10065.6 32120.7  10044.2    10044
read      551.4   639.1    86.8   169.0   198.0   402.2   544.1   630.3   708.5   840.7  1050.7  1438.4  2264.7  6927.2 28484.9  39576.9    39624
read      556.3   701.9    93.8   174.3   203.4   404.8   541.8   627.2   707.1   831.2  1026.0  1407.8  2332.6  7484.9 29719.8  41543.7    41474
read      466.0   585.5    93.8   187.9   213.9   360.2   452.5   513.1   563.6   628.7   738.4   999.8  2053.0  6179.0 29283.9  66608.1    66593
read      484.6   695.8   101.3   191.9   215.7   372.1   482.6   545.0   591.1   653.8   760.5   996.7  2101.9  7775.9 31786.7  39795.6    39775
read      523.1   818.6   101.3   200.4   228.4   451.4   533.7   580.0   613.0   652.1   710.6   814.3  2732.8  7890.4 33237.5  12355.3    12340
read      469.6   622.1    93.8   188.0   214.6   358.6   450.7   509.4   557.3   622.1   734.2  1017.1  2137.3  6713.4 30618.3  67630.2    67852
read      525.5   631.5    93.8   190.8   220.7   447.1   551.0   614.3   661.2   723.4   809.7   935.2  2215.1  6083.1 30343.1  19106.9    19176
read      531.7   881.0    93.8   207.9   233.2   379.6   462.8   520.0   569.7   642.1   785.4  1215.0  3295.9  9735.1 32124.8  87824.0    87812
read      529.4   669.8   101.3   197.0   225.1   459.7   565.3   626.9   671.9   727.3   794.5   912.4  2066.4  5952.2 30968.1  19147.3    19141
read      441.0   462.4    86.8   191.3   217.3   353.7   440.0   495.0   538.3   592.8   680.3   897.7  1874.0  5099.8 15726.5  72962.1    72767
read      491.2   664.4    93.8   183.3   210.8   370.9   474.0   542.9   597.7   673.4   801.2  1095.7  2138.4  6548.9 31085.2  63394.2    63416
read      525.3   670.6   101.3   185.2   213.6   419.6   543.7   608.8   661.2   739.2   865.4  1103.9  2149.5  6647.6 31095.4  32315.7    32230
read      571.4   824.7    93.8   192.2   222.2   460.9   579.2   651.9   717.4   806.9   919.6  1120.4  2833.8  6957.1 31989.5  24877.9    24915
read      541.0   749.2    93.8   191.8   222.3   459.3   562.4   624.0   668.2   727.7   805.5   936.6  2407.8  8627.1 31982.0  17527.1    17561
read      551.2   696.0   101.3   189.1   219.0   478.7   587.3   649.5   703.0   769.4   843.7   973.6  2315.8  6044.8 31352.2  18162.5    18091
