ubuntu@client-measure-n717:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.7 -a 10.156.0.11 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 4
Random waveform, supplied seed
Total number of intervals = 180 (5002, 54986, 7130, 84290, 17452, 88208, 22877, 72971, 73135, 75186, 55733, 12378, 35768, 18138, 25316, 16286, 70039, 7925, 55700, 30401, 68647, 75977, 38812, 73569, 41545, 15233, 39948, 63492, 68082, 81456, 65924, 9635, 9732, 23037, 94715, 34730, 55405, 7436, 96598, 48830, 98879, 93373, 89615, 6275, 62579, 32621, 55023, 56191, 13630, 75839, 11268, 91542, 95358, 14465, 46522, 68275, 94880, 61112, 65501, 28015, 63771, 6718, 11191, 31233, 94928, 97715, 11135, 39480, 80154, 33026, 5268, 55976, 15291, 67253, 16304, 86493, 77575, 24032, 9375, 12678, 34572, 52641, 11030, 76616, 49936, 54228, 94769, 90660, 99798, 57659, 93618, 26403, 43387, 10044, 39624, 41474, 66593, 39775, 12340, 67852, 19176, 87812, 19141, 72767, 63416, 32230, 24915, 17561, 18091, 99427, 83040, 99355, 25742, 58482, 52445, 39976, 65714, 85849, 86593, 54564, 39577, 14343, 6139, 67434, 15213, 84735, 76404, 96170, 73743, 30666, 57058, 62785, 62130, 73914, 56612, 57338, 99906, 61065, 38132, 41320, 39242, 83059, 26336, 61300, 93660, 65334, 58894, 29662, 5808, 95639, 86335, 85220, 52894, 80911, 31316, 54124, 53152, 62479, 51223, 25168, 99184, 91048, 57941, 82238, 15783, 62638, 72072, 58970, 80048, 65921, 54854, 56548, 40027, 66638, 32005, 48830, 6161, 56344, 17598, 83020)
Average QPS expected = 52310
Timestamp start: 1653223294365
Timestamp end: 1653225094808

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      481.4   671.4    86.8   152.5   173.3   311.6   417.9   508.8   603.0   752.9   975.7  1299.5  2658.3  6806.3 28401.8  65984.1    65924
read      498.3  1343.6    93.8   154.0   177.3   336.0   413.6   455.6   485.9   524.2   582.7   794.9  4005.7 28009.1 37763.1   9616.1     9635
read      514.8  1412.7    93.8   153.4   177.4   338.1   416.6   461.3   493.2   532.3   589.2   803.0  4158.8 28137.5 37582.2   9763.8     9732
read      520.2  1084.4    86.8   146.3   165.1   352.5   480.4   572.9   637.3   711.7   804.1   998.2  3732.4 14751.2 35503.0  23049.9    23037
read      674.2   949.3    93.8   202.9   232.0   379.1   519.1   814.8  1078.1  1364.0  1524.9  1717.9  2773.1 10796.6 32034.9  94635.1    94715
read      519.0   964.1    86.8   146.3   165.0   325.5   460.1   572.4   671.2   781.6   915.4  1176.9  3605.3  9355.5 32192.7  34796.9    34730
read      508.0   782.8    86.8   151.0   172.0   318.7   435.5   534.3   639.2   793.6  1001.4  1339.8  3291.1  8318.7 30927.3  55421.3    55405
read      472.0  1285.6   101.3   164.6   190.3   325.8   389.3   423.4   448.2   479.9   532.2   709.2  3572.7 28013.3 37551.1   7467.0     7436
read      697.0   857.2    86.8   211.1   242.4   393.0   563.9   919.8  1210.5  1424.3  1563.3  1740.6  2750.2  8692.1 31241.5  96490.9    96598
read      523.9   931.9    86.8   150.1   170.0   317.4   440.6   545.6   661.3   819.1  1018.4  1357.2  3429.4  9170.0 32477.6  48837.0    48830
read      697.1   811.4    93.8   213.6   245.2   393.1   567.6   943.9  1235.5  1432.2  1566.6  1748.1  2734.4  8348.3 31043.7  98828.6    98879
read      716.7  1080.7    93.8   209.9   240.0   382.9   508.2   840.2  1205.1  1436.3  1580.4  1769.1  3772.8 11452.2 32307.4  93433.4    93373
read      659.2   805.5    86.8   193.0   223.8   381.1   546.0   822.0  1060.1  1347.2  1533.2  1728.2  2712.8  8113.8 30853.2  89830.1    89615
read      493.7  1606.0    93.8   163.1   188.3   308.3   362.0   393.8   418.2   449.4   498.8   722.6  4302.9 31033.7 36837.2   6302.1     6275
read      501.2   791.1    86.8   153.0   174.4   318.6   430.3   525.4   622.7   775.6   991.4  1332.1  2952.8  7807.2 31671.0  62520.2    62579
read      529.7  1056.2    86.8   149.7   169.8   339.9   476.2   589.6   677.2   774.7   902.4  1137.2  3683.8 12817.4 35893.6  32626.3    32621
read      506.1   831.1    86.8   150.6   170.8   315.3   431.9   534.0   641.9   800.2  1001.0  1307.4  3310.8  7507.9 32016.0  55093.3    55023
read      508.3   841.8    86.8   151.3   171.9   314.7   426.4   523.1   628.4   788.7  1002.8  1341.5  3334.8  8091.8 31879.8  56212.1    56191
read      506.3  1227.3    86.8   150.3   170.3   346.4   444.1   502.0   540.4   585.4   648.6   840.5  3808.9 24832.6 36064.6  13654.7    13630
read      475.8   593.6    86.8   158.2   179.5   315.4   420.9   512.6   611.1   764.2   982.6  1304.6  2166.2  6116.3 20785.5  75823.3    75839
read      513.1  1269.5    86.8   152.1   174.4   345.8   434.0   483.8   518.1   557.4   618.8   832.9  4182.0 27589.6 33554.4  11228.4    11268
read      641.0   676.6    86.8   192.7   222.1   386.9   579.0   819.9  1011.3  1227.0  1468.2  1718.5  2616.3  5687.4 19858.6  91455.6    91542
read      681.2   894.5    93.8   204.9   236.1   388.6   527.3   839.2  1141.7  1406.7  1553.6  1731.3  2742.3  9937.7 31799.9  95407.3    95358
read      519.9  1346.9    86.8   147.2   166.4   344.2   446.3   507.3   548.6   597.0   671.8   894.9  3949.6 27601.9 36619.8  14432.4    14465
read      510.9   848.8    86.8   147.6   167.1   316.0   441.3   551.1   673.9   826.9  1007.4  1288.8  3250.8  7917.1 32272.8  46498.3    46522
read      484.4   702.0    80.4   153.2   174.1   309.3   413.6   506.7   607.2   768.2  1000.1  1340.2  2635.5  6468.9 31379.5  68289.3    68275
read      680.4   761.8    93.8   202.6   231.7   385.0   550.3   948.2  1274.1  1437.6  1564.7  1725.4  2632.8  7358.7 30117.7  94908.4    94880
read      477.5   685.3    86.8   150.8   170.4   305.4   408.8   495.9   587.8   741.2   974.0  1335.2  2663.9  6893.3 30566.6  61128.5    61112
read      502.7   783.0    80.4   154.9   176.3   319.3   430.0   527.9   629.2   783.1   999.2  1346.1  3079.7  7590.3 31668.6  65581.5    65501
read      518.4  1060.4    86.8   148.8   167.9   345.1   478.9   581.4   660.0   742.0   851.1  1060.9  3473.1 14321.8 35358.7  28097.0    28015
read      493.4   655.7    80.4   153.9   175.3   318.5   432.0   530.9   633.9   789.3  1006.6  1357.0  2645.2  6175.9 30127.2  63748.3    63771
read      464.2  1357.7   101.3   164.1   190.6   314.3   369.3   399.7   423.8   455.0   503.6   675.3  3598.3 29344.2 32926.1   6691.1     6718
read      501.3  1194.6    93.8   152.3   174.5   341.6   427.0   474.8   509.1   549.9   613.7   826.6  3909.6 18058.7 35661.2  11096.1    11191
read      506.5   865.1    80.4   148.7   168.2   342.3   476.2   582.7   668.0   762.6   880.3  1099.2  3363.7  7541.9 32140.4  31266.0    31233
read      715.4   882.4    93.8   215.1   246.4   402.6   580.9   977.2  1300.2  1463.6  1591.3  1757.6  2732.0 11302.8 31294.5  94908.2    94928
read      705.1   872.1    93.8   215.3   249.2   403.9   594.0   935.7  1227.1  1448.3  1590.9  1758.4  2690.4  9081.8 31738.2  97727.8    97715
read      513.8  1433.9    93.8   157.5   179.6   334.8   422.6   474.6   511.3   554.6   624.7   917.8  3734.8 30327.4 37203.9  11127.2    11135
read      531.8   899.2    86.8   164.2   188.6   351.1   474.5   578.7   673.5   806.8   950.9  1183.2  3383.3  8989.9 32092.7  39449.5    39480
read      502.2   574.3    93.8   175.0   200.7   356.3   468.4   563.6   652.7   786.1   973.9  1246.1  2105.4  6091.3 20500.9  79990.6    80154
read      545.4   989.2    86.8   166.1   189.3   362.4   487.0   585.8   671.5   792.4   924.4  1182.7  3639.9  9233.0 32173.5  33034.8    33026
read      475.1  1542.4   109.4   175.5   204.6   310.1   356.1   382.4   401.2   428.9   469.5   622.6  3844.6 31164.6 40123.4   5234.6     5268
read      531.5   823.9    86.8   173.4   198.6   355.9   470.4   564.6   653.4   791.6   969.6  1260.4  3438.8  7539.2 31817.1  55752.8    55976
read      525.9  1165.7    93.8   168.1   191.0   370.4   471.0   530.2   570.2   618.0   687.4   931.7  3714.0 18539.0 32517.3  15231.2    15291
read      505.6   647.8    93.8   182.3   208.3   360.7   468.4   554.0   632.8   746.2   924.1  1188.2  2532.0  6282.3 30366.1  67372.5    67253
read      531.9  1225.3    93.8   173.6   197.1   370.2   462.9   522.7   567.3   619.2   691.4   914.1  3969.8 18226.7 36579.4  16173.9    16304
read      574.5   595.3    93.8   190.2   218.9   384.7   546.2   697.6   833.4   991.7  1165.0  1507.7  2247.7  5682.0 17474.9  86563.3    86493
read      493.8   578.1    86.8   166.5   190.7   341.3   452.0   546.5   638.7   785.0   985.7  1263.4  2195.2  5772.2 23401.2  77707.6    77575
read      517.4   958.0    93.8   169.3   191.9   366.8   473.6   552.4   614.0   680.8   797.9  1002.0  3561.7 11590.1 35668.1  23949.9    24032
read      517.8  1375.1    93.8   166.3   192.6   345.6   416.1   457.8   487.4   525.8   584.8   874.5  4060.8 25171.0 40071.1   9372.6     9375
read      504.7  1099.8    86.8   165.2   189.1   353.5   446.0   498.8   534.8   578.3   639.0   866.4  3778.0 12940.4 32237.2  12671.5    12678
read      561.4   995.8    93.8   173.3   197.6   372.2   493.3   587.1   670.4   784.1   931.5  1220.3  3946.5  8808.7 35522.2  34489.9    34572
read      536.9   839.2    80.4   174.8   200.2   362.6   479.7   572.8   658.9   784.7   964.9  1271.7  3373.3  8651.3 32025.3  52744.4    52641
read      531.1  1336.9   101.3   173.4   198.0   369.6   448.0   490.5   521.6   560.7   619.2   846.3  4450.2 28585.3 37615.6  10940.1    11030
read      496.5   653.8    86.8   166.7   191.3   342.2   446.9   535.6   623.2   757.8   961.7  1249.3  2486.6  6459.8 30793.5  76469.0    76616
read      516.4   813.8    86.8   170.3   194.7   348.5   458.7   543.7   626.9   746.6   935.7  1209.3  3408.3  7894.0 31823.3  49929.0    49936
read      531.5   881.0    86.8   166.7   191.9   346.0   455.8   544.8   635.1   786.4   993.4  1283.5  3487.3  9195.5 32188.6  54004.2    54228
read      695.0   795.7    93.8   226.3   256.4   401.6   587.3   912.3  1184.4  1420.3  1567.5  1744.3  2711.5  6997.0 31134.9  94783.7    94769
read      633.2   763.8    86.8   208.6   237.0   388.6   571.5   769.7   928.8  1079.6  1330.8  1668.3  2833.1  7690.8 30770.9  90683.0    90660
