ubuntu@client-measure-n717:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.7 -a 10.156.0.11 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (50783, 39334, 11704, 13217, 75230, 28448, 28988, 82222, 29396, 99875, 24697, 69929, 44960, 38123, 78095, 17568, 41823, 42512, 23141, 32683, 38369, 40567, 14614, 95602, 20335, 89958, 70467, 65953, 9849, 95563, 38627, 6021, 64263, 21182, 79129, 11022, 50253, 70683, 82622, 94543, 84637, 53338, 53322, 54773, 38466, 44650, 42288, 57201, 75440, 50345, 88301, 66222, 63785, 60290, 35250, 57942, 90046, 42224, 25728, 99151, 19900, 12634, 67395, 31900, 84248, 59988, 81394, 69182, 45705, 10126, 94405, 53864, 58289, 27492, 10410, 18881, 75960, 43651, 71951, 27041, 27250, 31562, 20842, 70370, 46143, 62383, 57184, 87177, 87451, 26882, 17048, 56770, 65460, 83135, 70782, 40148, 97439, 20736, 82346, 18236, 67160, 70381, 47969, 63563, 27195, 54053, 88666, 18140, 74533, 99967, 49432, 48604, 99568, 84118, 70954, 84736, 7175, 85621, 56082, 84388, 48418, 9502, 47752, 28718, 8084, 63411, 50790, 69421, 61379, 86617, 67843, 43812, 32468, 48505, 44918, 79870, 17927, 92636, 49918, 49232, 12367, 38953, 58110, 57611, 34518, 99075, 70435, 96418, 69794, 63629, 5567, 49976, 62558, 56198, 44475, 46522, 57822, 67352, 55865, 50091, 11428, 30785, 63696, 91084, 9556, 14419, 35420, 61034, 83011, 75470, 69400, 95046, 85504, 88559, 25391, 41479, 45136, 45505, 78886, 8741)
Average QPS expected = 53277
Timestamp start: 1653230722566
Timestamp end: 1653232522968

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      454.0   632.0    86.8   147.9   167.0   317.3   435.5   525.6   626.5   769.3   924.5  1117.5  1576.7  7659.4 30460.1  38705.3    38627
read      456.2  1466.7    93.8   166.5   190.9   307.2   362.3   391.7   413.4   441.3   482.0   567.3  4050.7 29610.2 32434.1   6058.4     6021
read      445.3   470.9    86.8   151.5   171.4   307.0   405.1   487.3   569.9   712.0   933.5  1261.8  1830.4  3953.4 12987.4  64029.6    64263
read      464.5   893.8    86.8   150.2   169.0   350.5   465.6   552.6   616.3   682.3   762.4   886.8  1688.4 13594.3 32256.8  21216.9    21182
read      384.2   419.7    86.8   167.0   190.2   329.7   400.4   444.4   477.7   520.5   582.1   691.5  1346.6  4599.6 17708.2  79090.4    79129
read      461.6  1183.4    93.8   150.6   170.9   338.3   423.3   475.3   510.6   551.9   609.9   717.4  2650.9 16111.2 32446.0  11078.3    11022
read      439.2   493.3    80.4   146.3   164.4   299.4   402.7   485.9   574.6   736.8   960.9  1232.7  1706.1  4204.0 13937.0  50152.4    50253
read      418.3   401.4    86.8   154.0   174.9   307.4   395.6   461.3   518.6   610.4   785.4  1137.9  1757.4  3434.8 10121.8  70727.2    70683
read      365.4   349.7    80.4   161.8   184.0   321.0   390.2   431.7   463.4   502.3   556.7   643.0  1097.4  3448.0 14358.0  82678.3    82622
read      367.8   382.9    86.8   167.4   190.4   326.6   392.2   431.4   461.0   497.5   547.2   633.7   973.7  4513.5 12183.4  94435.5    94543
read      368.3   425.1    86.8   162.6   185.1   323.3   392.8   434.2   465.4   503.5   555.6   638.6  1005.1  4840.7 16528.3  84628.9    84637
read      434.2   410.1    86.8   147.3   166.1   300.9   402.5   484.9   568.2   719.4   940.5  1231.5  1688.8  3350.7 10846.9  53310.7    53338
read      443.8   484.6    86.8   147.7   166.3   302.7   405.0   488.6   576.5   740.8   972.7  1263.7  1725.2  3965.7 14466.3  53193.9    53322
read      439.6   489.4    86.8   147.1   165.2   298.9   397.2   473.6   552.9   708.1   961.9  1300.5  1800.3  3647.7 10958.0  54842.7    54773
read      458.3   609.2    86.8   147.5   166.2   318.3   442.9   545.9   658.3   791.3   934.7  1125.1  1597.0  6409.7 25575.7  38508.5    38466
read      445.9   452.6    86.8   148.3   167.1   311.7   426.4   516.2   621.0   771.5   952.9  1173.1  1615.9  3993.3 11013.8  44507.6    44650
read      461.4   595.0    86.8   149.0   168.4   318.4   441.0   538.6   643.3   784.3   950.5  1163.9  1659.0  6391.4 29966.1  42333.8    42288
read      435.9   445.8    86.8   147.5   165.9   298.9   395.2   470.5   545.1   684.2   940.0  1298.7  1829.9  3266.3 13124.8  57168.7    57201
read      390.7   386.5    80.4   159.7   181.9   322.2   399.0   447.8   486.0   535.7   606.3   780.7  1563.3  4334.8 11681.6  75478.8    75440
read      440.4   491.5    86.8   148.0   166.5   304.5   408.4   489.0   570.3   720.3   953.6  1242.9  1686.7  3630.5 15257.4  50445.7    50345
read      377.3   401.1    86.8   166.0   189.6   326.3   392.6   432.3   463.2   502.6   558.0   665.2  1403.9  4573.0 12753.5  88259.4    88301
read      411.2   396.9    80.4   155.4   177.0   317.9   407.0   468.0   517.5   587.3   700.7  1002.9  1664.8  4037.0  9487.3  66229.6    66222
read      440.7   439.8    86.8   151.3   171.1   305.3   400.7   478.9   555.2   687.1   924.6  1278.5  1843.4  3931.3  9737.4  63861.1    63785
read      440.9   425.9    86.8   150.3   169.9   306.3   404.7   485.5   567.7   709.4   935.2  1264.9  1783.6  3445.5 11407.2  60360.9    60290
read      455.2   640.5    86.8   147.7   166.3   319.3   445.5   548.6   659.0   777.9   906.8  1074.2  1527.6  8005.2 30403.4  35289.1    35250
read      446.1   444.0    86.8   150.7   169.8   305.5   403.4   485.2   568.8   722.0   967.5  1293.1  1829.3  3739.5 12703.2  58000.4    57942
read      381.1   422.9    80.4   167.9   191.6   331.1   397.5   436.6   466.9   505.4   561.0   663.6  1438.5  4475.2 13786.3  89929.8    90046
read      450.9   547.3    93.8   149.5   168.7   316.3   432.2   522.3   621.5   763.0   934.4  1148.3  1591.3  5110.3 21918.8  42264.3    42224
read      475.1   919.6    86.8   149.3   168.2   346.4   465.2   564.7   644.8   722.4   818.7   955.8  1485.4 14430.0 32025.9  25719.2    25728
read      392.5   390.3    86.8   173.9   197.9   339.4   404.6   445.0   475.7   515.9   574.8   696.5  1539.8  4889.7 10231.2  99207.6    99151
read      457.6   854.3    86.8   148.1   167.5   352.2   461.3   541.6   597.4   655.7   727.5   843.6  1609.1 11478.7 31967.5  19936.7    19900
read      464.2  1201.9    93.8   149.0   169.1   343.7   437.3   493.0   530.1   572.7   626.9   729.3  2498.4 16618.9 35455.5  12710.7    12634
read      425.0   472.6    86.8   153.1   174.0   310.3   399.5   464.7   521.1   602.1   770.4  1142.4  1835.2  4858.4 14945.0  67430.1    67395
read      460.9   658.1    86.8   146.4   165.3   327.5   458.9   563.4   663.6   770.6   887.7  1045.1  1549.9  8399.0 30500.3  32002.4    31900
read      384.1   400.8    86.8   165.0   188.5   328.2   399.6   443.4   476.4   519.7   580.9   695.9  1426.5  4116.0 11568.8  84097.5    84248
read      441.8   398.9    86.8   151.9   172.0   310.3   413.3   497.0   580.3   715.1   927.5  1241.3  1757.8  3229.9  9235.3  60077.7    59988
read      375.8   425.1    80.4   164.5   187.7   325.8   396.7   439.8   472.1   512.3   569.5   661.6  1201.6  4098.6 17315.0  81564.9    81394
read      407.2   433.7    86.8   155.2   176.5   313.2   398.0   457.7   504.7   573.4   684.5  1001.1  1689.3  4361.3 14020.2  69216.6    69182
read      450.6   483.9    86.8   147.5   166.1   310.1   423.4   511.6   607.7   767.0   979.1  1223.1  1692.7  4640.7 13615.2  45663.3    45705
read      463.2  1242.7    93.8   154.2   175.6   339.6   422.4   468.9   502.1   539.8   591.2   692.9  2837.8 24125.3 35692.7  10185.5    10126
read      391.9   436.1    86.8   170.5   194.2   336.3   403.9   444.5   475.0   516.1   574.5   691.0  1554.1  4894.0 15410.9  94112.6    94405
read      456.7   594.6    86.8   149.8   169.1   312.3   419.2   503.1   586.9   731.6   955.1  1266.4  1802.7  5668.3 24503.1  53815.7    53864
read      449.4   513.1    80.4   149.4   168.5   307.4   409.8   490.7   571.0   715.1   951.7  1303.4  1861.2  4318.3 13074.6  58385.3    58289
read      472.5   794.8    86.8   147.3   166.0   340.2   467.8   571.3   657.0   745.4   852.7  1000.9  1589.8 11457.9 31456.3  27493.3    27492
read      468.7  1296.4    86.8   152.8   173.3   337.8   422.9   475.7   511.3   554.7   612.4   709.8  2704.4 21550.1 37160.9  10449.9    10410
